ID,price
1473,1884616.9
716,313960.5
1360,822703.1
1522,660314.94
1570,127153.09
1387,459665.47
519,359279.0
287,671297.1
32,730210.94
640,356301.84
1214,585331.9
204,606838.5
1537,358682.34
450,418023.03
1442,593317.4
1222,707658.7
528,376415.78
1155,307292.44
850,363627.7
375,660685.7
1417,501307.84
197,499043.66
590,471282.25
1274,238174.31
1476,513367.28
268,482878.1
1191,338128.8
1556,1595261.6
953,569858.75
1579,450558.12
845,604006.6
557,477632.38
774,607017.75
391,753866.06
92,363641.72
864,251625.72
579,311048.75
1018,506595.03
1204,424336.3
516,318633.28
527,719951.4
781,430232.97
616,375717.16
1465,351228.44
1205,618199.3
1364,653661.06
747,692905.3
971,486509.25
1573,1479223.2
6,450104.62
841,676650.44
659,925509.75
456,249586.73
1329,529372.75
581,448317.6
70,263465.66
604,237716.52
34,379041.1
1355,2077071.2
1077,566440.44
730,289794.22
1123,547011.0
7,379918.34
1015,736714.1
340,218246.38
836,332291.78
972,666503.9
175,307154.4
239,554386.44
834,302141.56
1561,292240.7
1005,546778.44
140,197602.78
769,632431.6
794,618821.94
1509,361548.56
320,841926.56
1261,659019.75
137,396445.66
1392,620606.3
1038,498564.56
1187,510007.1
1290,780216.94
673,687931.25
1068,581858.0
393,695096.3
1281,555529.1
1489,240411.69
401,491047.38
1095,350571.6
1513,351980.78
1393,651052.1
1407,1011731.94
748,457037.53
1500,754117.7
1584,389949.56
493,280334.56
1512,286074.2
1391,700951.44
1468,637069.7
442,644317.5
1589,451647.0
843,455263.03
370,461013.78
1247,433105.25
1180,563606.06
368,552641.0
1590,721445.7
876,161634.89
1358,1414189.9
790,673913.9
1593,376564.38
663,971116.75
1299,821127.8
840,730235.75
597,818856.5
1379,462830.78
1028,560421.25
871,270517.4
249,459358.84
777,528160.7
372,579145.7
1349,655948.06
223,279959.06
1289,691061.4
1116,446923.25
611,1225482.1
1389,722079.25
963,485403.25
1538,475488.06
346,460915.56
727,224281.84
416,607194.56
1511,260418.42
1072,528898.4
313,928698.06
1130,1124607.2
831,903656.7
633,413769.0
560,464538.0
1502,512847.38
156,229656.0
1154,268022.7
544,584013.1
1384,476517.62
1141,1432787.5
1140,562846.56
1344,699856.94
10,248747.77
1071,579166.7
1583,269228.8
981,420701.72
552,483966.9
1046,476480.22
1551,315391.72
734,268693.0
1375,626549.5
224,161470.3
420,479420.47
338,397360.44
870,265687.12
796,940871.75
919,357916.06
1481,1468978.0
926,411069.94
585,440772.28
582,485074.78
281,572287.7
1466,318012.78
839,270677.9
1008,465347.1
331,345222.78
1026,567815.06
257,411901.47
1206,738024.94
333,307413.44
161,273569.62
1469,590345.9
426,674761.25
499,660948.25
419,448183.2
21,541449.94
234,443071.06
1376,551326.56
505,240800.22
1297,1254370.9
423,569262.9
1495,998993.56
657,827827.44
54,495341.03
454,180512.3
190,272260.03
330,646081.5
574,437094.28
999,723578.1
367,441880.44
785,784856.1
515,370620.53
615,322083.47
529,372658.53
305,478276.97
701,249279.1
345,447166.38
808,1840850.4
194,348416.47
1351,588202.44
817,365737.28
631,358835.62
1215,524754.8
134,348378.4
91,192541.88
965,784490.5
399,528359.75
81,334067.44
1448,794469.56
277,485175.16
1161,336791.88
96,265971.84
661,471468.22
1359,813781.7
613,260007.1
1340,1057425.5
1413,1748647.8
667,873303.0
271,241263.86
174,275432.12
1278,313965.88
717,668196.4
1433,525224.2
1497,425278.75
1464,330441.22
912,469595.4
644,414377.25
986,471229.1
735,289811.9
1454,393972.78
1385,549699.2
1039,532327.6
1135,939699.2
1105,273409.7
507,466570.12
573,405763.75
993,542671.0
112,979228.0
1431,601335.94
83,752463.2
25,838876.2
907,277666.9
576,469948.06
1157,290955.88
359,515458.12
227,512419.66
797,648005.44
534,283695.62
827,602230.9
1132,625839.1
833,589645.94
823,307171.38
1218,458760.7
36,370433.22
709,345641.38
1114,426127.0
439,269043.7
485,391727.34
253,525077.06
191,434382.1
1181,260917.52
753,332402.34
1001,495524.62
828,410706.78
627,341184.9
1574,1544633.0
1333,840648.3
879,161063.55
619,756389.44
1144,657001.25
1160,312513.72
1156,186380.55
1365,668525.4
1390,886627.06
898,310727.6
618,1055630.8
1507,213165.16
773,539144.7
1094,326278.75
441,562602.2
1301,1280876.4
255,785870.6
298,370358.66
1106,168764.66
1418,692117.56
617,1281045.0
1498,358990.3
1479,1716840.6
1147,346232.97
1557,173375.36
1453,619028.25
133,997228.1
1165,326138.72
793,819122.5
1382,468275.3
1136,1102308.5
98,233166.22
101,486490.06
880,208714.7
437,1228725.9
1158,233706.53
1076,577480.5
1345,643935.9
292,401564.53
872,357187.12
1036,698875.6
246,975863.3
614,270562.34
1408,354900.75
1475,490908.53
374,706269.2
795,545609.5
888,237164.19
231,291013.3
